datum,fullDepo,balance,equity,hozamManual,hozamRobot
2018.12.17 19:01,1743.36,1473.55,1473.55,-317.45,47.64
2018.12.17 19:01,1743.36,1475.30,1475.30,-315.70,47.64
2018.12.17 19:01,1743.36,1482.06,1482.06,-308.94,47.64
2018.12.17 19:01,1743.36,1528.34,1528.34,-262.66,47.64
2018.12.17 21:29,1743.36,1542.35,1542.35,-262.66,61.65
2018.12.17 22:06,1743.36,1544.38,1544.38,-262.66,63.68
2018.12.17 22:23,1743.36,1592.59,1592.59,-214.45,63.68
2018.12.17 22:51,1743.36,1597.94,1597.94,-214.45,69.03
2018.12.17 22:51,1743.36,1601.45,1601.45,-214.45,72.54
2018.12.17 23:04,1743.36,1739.21,1739.21,-76.69,72.54
2018.12.17 23:04,1743.36,1777.98,1777.98,-37.92,72.54
2018.12.17 23:04,1743.36,1806.25,1806.25,-9.65,72.54
2018.12.17 23:04,1743.36,1924.29,1924.29,108.39,72.54
2018.12.17 23:08,1743.36,1924.26,1924.26,108.39,72.51
2018.12.17 23:08,1743.36,1924.08,1924.08,108.39,72.33
2018.12.18 01:20,1743.36,1914.83,1914.83,108.39,63.08
2018.12.18 01:21,1743.36,1924.32,1924.32,108.39,72.57
2018.12.18 04:04,1743.13,1924.09,1924.09,108.39,72.57
2018.12.18 04:26,1743.05,1924.01,1924.01,108.39,72.57
2018.12.18 15:32,1743.05,1926.77,1926.77,111.15,72.57
2018.12.18 17:37,1743.05,1921.03,1921.03,105.41,72.57
2018.12.18 17:37,1743.05,1925.72,1925.72,110.10,72.57
2018.12.18 17:37,1743.05,1927.56,1927.56,111.94,72.57
2018.12.18 17:45,1743.05,1923.61,1923.61,107.99,72.57
2018.12.18 17:55,1743.05,1913.06,1913.06,97.44,72.57
2018.12.18 17:55,1743.05,1907.69,1907.69,92.07,72.57
2018.12.18 18:31,1743.05,1903.61,1903.61,87.99,72.57
2018.12.18 20:18,1743.05,1911.09,1911.09,95.47,72.57
2018.12.18 20:18,1743.05,1921.04,1921.04,105.42,72.57
2018.12.18 20:18,1743.05,1923.39,1923.39,107.77,72.57
2018.12.18 20:19,1743.05,1924.55,1924.55,108.93,72.57
2018.12.18 20:38,1743.05,1935.60,1935.60,119.98,72.57
2018.12.18 20:38,1743.05,1943.68,1943.68,128.06,72.57
2018.12.18 20:38,1743.05,1945.42,1945.42,129.80,72.57
2018.12.18 20:39,1743.05,1946.89,1946.89,131.27,72.57
2018.12.18 20:39,1743.05,1945.67,1945.67,130.05,72.57
2018.12.18 21:35,1743.05,1938.75,1938.75,123.13,72.57
